"state","year","foster_care","adoptions"
"alabama",2000,4908,771
"alabama",2001,4761,872
"alabama",2002,3752,1183
"alabama",2003,4069,1640
"alabama",2004,3753,1883
"alabama",2005,4852,2389
"alabama",2006,8848,2736
"alabama",2007,6384,1837
"alabama",2008,5516,1931
"alabama",2009,5472,1697
"alabama",2010,6115,1351
"alabama",2011,4751,1410
"alabama",2012,4281,1495
"alabama",2013,4192,1452
"alabama",2014,4556,1496
"alabama",2015,4951,1607
"alabama",2016,5016,1721
"alabama",2017,5886,1845
"alabama",2018,5745,1907
"alabama",2019,5238,2108
"alaska",2000,1966,290
"alaska",2001,1975,346
"alaska",2002,2074,263
"alaska",2003,1981,257
"alaska",2004,1718,219
"alaska",2005,1705,266
"alaska",2006,1852,242
"alaska",2007,1903,331
"alaska",2008,2013,362
"alaska",2009,1638,347
"alaska",2010,1756,387
"alaska",2011,1767,359
"alaska",2012,1622,338
"alaska",2013,2521,403
"alaska",2014,2712,386
"alaska",2015,2998,340
"alaska",2016,2829,393
"alaska",2017,2641,466
"alaska",2018,2749,454
"alaska",2019,2615,544
"arizona",2000,6751,1273
"arizona",2001,6421,1636
"arizona",2002,6418,1653
"arizona",2003,8440,1870
"arizona",2004,9415,1835
"arizona",2005,10172,2412
"arizona",2006,9278,2803
"arizona",2007,8788,2774
"arizona",2008,9990,2449
"arizona",2009,9250,2638
"arizona",2010,10255,2844
"arizona",2011,11850,2980
"arizona",2012,14546,2867
"arizona",2013,15357,3365
"arizona",2014,17201,3796
"arizona",2015,17987,4017
"arizona",2016,15722,4745
"arizona",2017,13705,4925
"arizona",2018,12661,4541
"arizona",2019,12514,3989
"arkansas",2000,2847,1041
"arkansas",2001,2288,1480
"arkansas",2002,2033,1706
"arkansas",2003,2305,1783
"arkansas",2004,2219,1977
"arkansas",2005,3317,1925
"arkansas",2006,3378,1933
"arkansas",2007,3581,2047
"arkansas",2008,3299,2055
"arkansas",2009,3576,2207
"arkansas",2010,3730,1995
"arkansas",2011,3683,1890
"arkansas",2012,3651,2122
"arkansas",2013,3723,2003
"arkansas",2014,3703,1808
"arkansas",2015,4557,1718
"arkansas",2016,4856,1873
"arkansas",2017,4509,2041
"arkansas",2018,3867,1753
"arkansas",2019,4344,1645
"california",2000,88896,15725
"california",2001,86080,11529
"california",2002,78093,9489
"california",2003,74215,10602
"california",2004,72808,9646
"california",2005,71368,9419
"california",2006,66458,9348
"california",2007,66640,10050
"california",2008,61477,10209
"california",2009,53425,9861
"california",2010,51824,8310
"california",2011,54818,8012
"california",2012,58238,8338
"california",2013,55138,8134
"california",2014,54325,8448
"california",2015,52246,8998
"california",2016,53576,9847
"california",2017,49012,9602
"california",2018,49843,9323
"california",2019,47275,9324
"colorado",2000,7765,702
"colorado",2001,7064,1607
"colorado",2002,9818,1794
"colorado",2003,8175,2165
"colorado",2004,8147,2520
"colorado",2005,8127,2457
"colorado",2006,8295,2442
"colorado",2007,7479,2371
"colorado",2008,7687,2215
"colorado",2009,7121,2372
"colorado",2010,6559,2196
"colorado",2011,6011,2155
"colorado",2012,5793,1900
"colorado",2013,5696,1756
"colorado",2014,5507,1823
"colorado",2015,5504,1984
"colorado",2016,5747,2229
"colorado",2017,5810,2302
"colorado",2018,5363,2243
"colorado",2019,4890,2001
"connecticut",2000,7066,630
"connecticut",2001,6356,611
"connecticut",2002,6297,728
"connecticut",2003,6371,693
"connecticut",2004,6333,918
"connecticut",2005,6057,738
"connecticut",2006,6258,997
"connecticut",2007,5596,1080
"connecticut",2008,4897,1024
"connecticut",2009,4475,1048
"connecticut",2010,5294,871
"connecticut",2011,4314,595
"connecticut",2012,4042,567
"connecticut",2013,3957,536
"connecticut",2014,3899,523
"connecticut",2015,3961,529
"connecticut",2016,4296,639
"connecticut",2017,4220,679
"connecticut",2018,4479,818
"connecticut",2019,3900,960
"delaware",2000,962,218
"delaware",2001,906,223
"delaware",2002,898,272
"delaware",2003,804,162
"delaware",2004,920,171
"delaware",2005,991,180
"delaware",2006,1115,196
"delaware",2007,1210,254
"delaware",2008,872,219
"delaware",2009,791,227
"delaware",2010,663,143
"delaware",2011,821,189
"delaware",2012,796,191
"delaware",2013,643,211
"delaware",2014,562,143
"delaware",2015,752,145
"delaware",2016,772,198
"delaware",2017,779,224
"delaware",2018,587,188
