"Tm","Total","Home","Away","Week.1","Week.2","Week.3","Week.4","Week.5","Week.6","Week.7","Week.8","Week.9","Week.10","Week.11","Week.12","Week.13","Week.14","Week.15","Week.16","Week.17","Week.18"
"Arizona Cardinals",1138411,575780,562631,70542,63331,63650,63286,71310,77773,64357,65629,64609,64030,NA,68649,66873,64533,64135,68804,73051,63849
"Atlanta Falcons",1185384,642432,542952,72291,69879,72441,72204,70016,70884,70691,62787,72665,70005,76545,NA,72139,67008,62364,70404,63480,69581
"Baltimore Ravens",1220990,568423,652567,73611,70762,93566,70636,66341,71316,64828,67431,71051,71439,67551,70240,71344,NA,77455,71313,71544,70562
"Buffalo Bills",1192970,565564,627406,70542,65601,70316,70636,71427,81118,70842,68704,70862,66474,71112,NA,70437,73493,65327,70725,70728,64626
"Carolina Panthers",1175655,640515,535140,70007,70145,62417,77258,59307,70884,63380,76135,70292,70132,NA,73216,69214,69879,70570,68804,64434,69581
"Chicago Bears",1076006,527841,548165,59403,71412,66624,59074,59307,61182,NA,64704,64609,58912,59419,57659,64275,71662,67017,56539,56346,77862
"Cincinnati Bengals",1191765,530355,661410,66214,73558,66207,77258,66341,78809,68143,67239,65962,71439,70240,NA,66112,92587,63745,65734,66546,65631
"Cleveland Browns",1134676,541808,592868,67431,60105,68016,62401,59030,69879,68143,67431,67431,NA,70006,67431,68306,66845,67983,65734,67942,70562
"Dallas Cowboys",1401575,836749,564826,67431,93691,93566,80425,67380,93644,NA,71521,72665,93644,92969,64955,92196,92587,70570,93103,69879,91349
"Denver Broncos",1142969,515265,627704,68714,74215,62738,82243,72825,70743,70008,76135,71051,73704,76545,62460,68306,NA,76496,70240,66546,NA
"Detroit Lions",1153330,584300,569030,66530,64160,63650,66658,NA,93644,66971,64316,78330,71512,64273,66696,64275,63987,65327,56539,71688,64774
"Green Bay Packers",1214251,702030,512221,47236,77827,67322,78335,72842,77773,78197,65618,78330,NA,59419,78222,77599,63987,68766,77885,67031,77862
"Houston Texans",1216430,570666,645764,65306,71412,66843,71115,71427,64628,78197,71380,79818,71512,92969,71055,62588,NA,71221,73600,71544,61815
"Indianapolis Colts",1161683,526138,635545,65306,77827,66624,66376,60214,64302,66299,71380,66954,66474,80582,66696,64626,NA,76496,65322,73164,63041
"Jacksonville Jaguars",1114472,526117,588355,65582,60105,70316,71115,60214,61182,86651,65618,69879,65695,64273,NA,62588,61644,63251,61323,61995,63041
"Kansas City Chiefs",1144982,588837,556145,73611,73558,72441,70240,73592,NA,71309,62533,73574,73704,71112,73216,73627,73571,67983,73600,67311,NA
"Las Vegas Raiders",1122807,497403,625404,70240,70762,62417,62401,72825,62553,73267,62533,65962,NA,65440,62460,73627,63250,62364,61323,70031,61352
"Los Angeles Chargers",1170832,559732,611100,70240,70145,66734,70240,NA,70743,64357,70240,67431,68796,70240,70240,72139,73571,69496,70240,64628,61352
"Los Angeles Rams",1124537,584264,540273,66530,63331,NA,59074,72842,NA,73267,72127,68632,72474,64628,74400,70006,73493,71201,76871,73051,72610
"Miami Dolphins",1153651,525150,628501,65582,65601,68658,65291,64628,NA,66299,65629,70862,72474,65440,65479,77599,65787,71221,66341,67942,68818
"Minnesota Vikings",1153509,596577,556932,81908,66741,66843,78335,61139,NA,66971,72127,66954,65695,67686,57659,66873,67008,67017,68748,67031,64774
"New England Patriots",1147581,517078,630503,66214,64686,80812,71042,64628,64628,86651,64628,66533,58912,64628,65479,64626,NA,64135,70725,64628,64626
"New Orleans Saints",1227161,630113,597048,70007,93691,70006,72204,73592,70041,70008,70240,70292,70005,70006,NA,70006,76143,70003,77885,70031,63001
"New York Giants",1273642,706231,567411,81908,61841,68016,80425,68306,78809,82779,66637,77994,70132,NA,77554,92196,76143,77455,70404,73164,69879
"New York Jets",1224693,631346,593347,71319,65509,80812,82243,61139,81118,66956,64628,79818,64030,80582,NA,81084,65787,63251,76871,70728,68818
"Philadelphia Eagles",1194031,606268,587763,47236,69879,70006,64223,NA,69879,82779,67239,69879,93644,69879,74400,71344,69879,69879,64128,69879,69879
"Pittsburgh Steelers",1151407,535045,616362,72291,74215,66734,66376,67380,62553,66956,66637,NA,66192,67551,67431,66112,66845,69879,71313,67311,65631
"San Francisco 49ers",1122075,642803,479272,71319,66741,NA,71042,71310,68768,71309,71521,NA,64914,71751,78222,70437,71662,71201,66341,71688,63849
"Seattle Seahawks",1166304,617945,548359,68714,64686,68658,66658,68306,68768,70691,68704,68632,NA,71751,68649,81084,64533,68766,68748,56346,72610
"Tampa Bay Buccaneers",1160353,573195,587158,63020,64160,62738,64223,70016,70041,64828,62787,73574,64914,NA,77554,69214,63250,69496,93103,64434,63001
"Tennessee Titans",1108720,518556,590164,59403,65509,67322,65291,NA,64302,70842,64316,66533,68796,67686,71055,63144,61644,63745,65322,61995,61815
"Washington Commanders",1143908,570854,573054,63020,61841,66207,63286,59030,71316,63380,64704,77994,66192,69879,64955,63144,NA,70003,64128,63480,91349
