"race","voter"
"white",1
"white",2
"white",3
"white",4
"white",5
"white",6
"white",7
"white",8
"white",9
"white",10
"white",11
"white",12
"white",13
"white",14
"white",15
"white",16
"white",17
"white",18
"white",19
"white",20
"white",21
"white",22
"white",23
"white",24
"white",25
"white",26
"white",27
"white",28
"white",29
"white",30
"white",31
"white",32
"white",33
"white",34
"white",35
"white",36
"white",37
"white",38
"white",39
"white",40
"white",41
"white",42
"white",43
"white",44
"white",45
"white",46
"white",47
"white",48
"white",49
"white",50
"white",51
"white",52
"white",53
"white",54
"white",55
"white",56
"white",57
"white",58
"white",59
"white",60
"white",61
"white",62
"white",63
"white",64
"white",65
"white",66
"white",67
"white",68
"white",69
"white",70
"white",71
"white",72
"white",73
"white",74
"white",75
"white",76
"white",77
"white",78
"white",79
"white",80
"white",81
"white",82
"white",83
"white",84
"white",85
"white",86
"white",87
"white",88
"white",89
"white",90
"white",91
"white",92
"white",93
"white",94
"white",95
"white",96
"white",97
"white",98
"white",99
"white",100
"white",101
"white",102
"white",103
"white",104
"white",105
"white",106
"white",107
"white",108
"white",109
"white",110
"white",111
"white",112
"white",113
"white",114
"white",115
"white",116
"white",117
"white",118
"white",119
"white",120
"white",121
"white",122
"white",123
"white",124
"white",125
"white",126
"white",127
"white",128
"white",129
"white",130
"white",131
"white",132
"white",133
"white",134
"white",135
"white",136
"white",137
"white",138
"white",139
"white",140
"white",141
"white",142
"white",143
"white",144
"white",145
"white",146
"white",147
"white",148
"white",149
"white",150
"white",151
"white",152
"white",153
"white",154
"white",155
"white",156
"white",157
"white",158
"white",159
"white",160
"white",161
"white",162
"white",163
"white",164
"white",165
"white",166
"white",167
"white",168
"white",169
"white",170
"white",171
"white",172
"white",173
"white",174
"white",175
"white",176
"white",177
"white",178
"white",179
"white",180
"white",181
"white",182
"white",183
"white",184
"white",185
"white",186
"white",187
"white",188
"white",189
"white",190
"white",191
"white",192
"white",193
"white",194
"white",195
"white",196
"white",197
"white",198
"white",199
"white",200
"white",201
"white",202
"white",203
"white",204
"white",205
"white",206
"white",207
"white",208
"white",209
"white",210
"white",211
"white",212
"white",213
"white",214
"white",215
"white",216
"white",217
"white",218
"white",219
"white",220
"white",221
"white",222
"white",223
"white",224
"white",225
"white",226
"white",227
"white",228
"white",229
"white",230
"white",231
"white",232
"white",233
"white",234
"white",235
"white",236
"white",237
"white",238
"white",239
"white",240
"white",241
"white",242
"white",243
"white",244
"white",245
"white",246
"white",247
"white",248
"white",249
"white",250
"white",251
"white",252
"white",253
"white",254
"white",255
"white",256
"white",257
"white",258
"white",259
"white",260
"white",261
"white",262
"white",263
"white",264
"white",265
"white",266
"white",267
"white",268
"white",269
"white",270
"white",271
"white",272
"white",273
"white",274
"white",275
"white",276
"white",277
"white",278
"white",279
"white",280
"white",281
"white",282
"white",283
"white",284
"white",285
"white",286
"white",287
"white",288
"white",289
"white",290
"white",291
"white",292
"white",293
"white",294
"white",295
"white",296
"white",297
"white",298
"white",299
"white",300
"white",301
"white",302
"white",303
"white",304
"white",305
"white",306
"white",307
"white",308
"white",309
"white",310
"white",311
"white",312
"white",313
"white",314
"white",315
"white",316
"white",317
"white",318
"white",319
"white",320
"white",321
"white",322
"white",323
"white",324
"white",325
"white",326
"white",327
"white",328
"white",329
"white",330
"white",331
"white",332
"white",333
"white",334
"white",335
"white",336
"white",337
"white",338
"white",339
"white",340
"white",341
"white",342
"white",343
"white",344
"white",345
"white",346
"white",347
"white",348
"white",349
"white",350
"white",351
"white",352
"white",353
"white",354
"white",355
"white",356
"white",357
"white",358
"white",359
"white",360
"white",361
"white",362
"white",363
"white",364
"white",365
"white",366
"white",367
"white",368
"white",369
"white",370
"white",371
"white",372
"white",373
"white",374
"white",375
"white",376
"white",377
"white",378
"white",379
"white",380
"white",381
"white",382
"white",383
"white",384
"white",385
"white",386
"white",387
"white",388
"white",389
"white",390
"white",391
"white",392
"white",393
"white",394
"white",395
"white",396
"white",397
"white",398
"white",399
"white",400
"white",401
"white",402
"white",403
"white",404
"white",405
"white",406
"white",407
"white",408
"white",409
"white",410
"white",411
"white",412
"white",413
"white",414
"white",415
"white",416
"white",417
"white",418
"white",419
"white",420
"white",421
"white",422
"white",423
"white",424
"white",425
"white",426
"white",427
"white",428
"white",429
"white",430
"white",431
"white",432
"white",433
"white",434
"white",435
"white",436
"white",437
"white",438
"white",439
"white",440
